body,total_user_messages,story,chat_link,created_at,stop_logic_data,message_type_text,full_name,last_nodes
Condom will be there?,2,No Story,https://api.haptikapi.com//user_info/3830299/#id_16727571_5,2018-01-24T18:16Z,True_no_nodes,regular,Pranav Chitrans,[u'No Nodes']
"Hey, I'm looking for the nearest ATM!{task} ",1,Nearby Atm Details,https://api.haptikapi.com//user_info/3426371/#id_16727806_1,2018-01-24T18:33Z,False_continue,carousel_message,Guest ,[u'NEARBY_ATM']
"💡 Tell me a story{task}{attempt: 2, api_name: nearby_api , places_type: ATM}",11,Savings Story,https://api.haptikapi.com//user_info/3426371/#id_16727806_2,2018-01-24T18:35Z,False_continue,regular,Guest ,[u'STEP_TWO_A']
"Hey, can you find me the nearest petrol pump?{task} ",1,Nearby Gas,https://api.haptikapi.com//user_info/4261833/#id_16728604_3,2018-01-24T20:12Z,False_continue,carousel_message,Susovan Maiti,[u'NEARBY_GAS']
"More options{attempt: 2, api_name: nearby_api , places_type: ATM}",1,Nearby General Task,https://api.haptikapi.com//user_info/4261818/#id_16728574_3,2018-01-24T19:53Z,False_continue,regular,Pushkar ,[u'NEARBY_TASK']
"More
Nearby: Gym",2,Nearby Gym,https://api.haptikapi.com//user_info/4261733/#id_16728424_3,2018-01-24T21:30Z,False_continue,auto_form_reply,Figo ,[u'NEARBY_GYM']
i want to search for a location{task},2,Nearby General Task,https://api.haptikapi.com//user_info/4261833/#id_16728604_6,2018-01-24T20:15Z,False_continue,regular,Susovan Maiti,[u'NEARBY_TASK']
"Hey, can you find me the nearest ATM?{task} ",3,Nearby Atm Details,https://api.haptikapi.com//user_info/4261833/#id_16728604_2,2018-01-24T20:03Z,False_continue,carousel_message,Susovan Maiti,[u'NEARBY_ATM']
"More
Nearby: Night Club",2,Nearby Night Club,https://api.haptikapi.com//user_info/4261833/#id_16728604_5,2018-01-24T20:14Z,False_continue,auto_form_reply,Susovan Maiti,[u'NEARBY_NIGHT_CLUB']
"Hey, I'm looking for the nearest ATM!{task} ",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4261960/#id_16728948_1,2018-01-24T21:35Z,False_continue,carousel_message,Deepak G Nair,[u'NEARBY_ATM']
"Hey User hasn't given location permission to us. Ask him if he is facing difficulty in
    switching on location services {note}",4,Nearby Night Club,https://api.haptikapi.com//user_info/4261981/#id_16728974_1,2018-01-24T21:53Z,False_reply_without_graphflow,app_location,Agranya Kumar,[u'NEARBY_NIGHT_CLUB']
"More
Nearby: Post Office",3,Nearby Post Office,https://api.haptikapi.com//user_info/4261833/#id_16728604_4,2018-01-24T20:14Z,False_continue,auto_form_reply,Susovan Maiti,[u'NEARBY_POST_OFFICE']
"Hey, can you find me the nearest ATM?{task}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4261733/#id_16728424_1,2018-01-24T19:30Z,False_continue,regular,Figo ,[u'NEARBY_ATM']
"Hey, can you find me the nearest ATM?",1,Nearby Atm Details,https://api.haptikapi.com//user_info/4261818/#id_16728574_2,2018-01-24T19:51Z,False_continue,regular,Pushkar ,[u'NEARBY_ATM']
Kmn acho,3,No Story,https://api.haptikapi.com//user_info/4261833/#id_16728604_2,2018-01-24T20:02Z,True_no_nodes,regular,Susovan Maiti,[u'No Nodes']
"💡 Tell me a story{task}{attempt: 2, api_name: nearby_api , places_type: ATM}",3,Savings Story,https://api.haptikapi.com//user_info/4261845/#id_16728668_2,2018-01-24T20:09Z,False_continue,regular,Shine ,[u'STEP_TWO_A']
{emoticon}{thumbsup},2,No Story,https://api.haptikapi.com//user_info/3830299/#id_16727571_5,2018-01-24T18:16Z,True_Casual_no_nodes,regular,Pranav Chitrans,[u'No Nodes']
Check term insurance plans {task},11,Life and investment products,https://api.haptikapi.com//user_info/3426371/#id_16727806_2,2018-01-24T18:39Z,False_continue,carousel_message,Guest ,[u'TERM_PRODUCTS']
{emoticon}{thumbsup},1,No Story,https://api.haptikapi.com//user_info/4261236/#id_16727483_4,2018-01-24T18:46Z,True_Casual_no_nodes,regular,Md Mozammil Ansary,[u'No Nodes']
{image}{http://expertdashboardcf.haptikapi.com/content/3d3d409de676a1ee1b6ff59b281cc38dabb9142e412b2dd08ff77bc633de4a66.jpeg?w=1200&h=1600},6,Nearby Atm Details,https://api.haptikapi.com//user_info/4262066/#id_16729130_1,2018-01-24T23:30Z,False_reply_without_graphflow,image,Kuna ,[u'NEARBY_ATM']
KUNA,6,No Story,https://api.haptikapi.com//user_info/4262066/#id_16729130_1,2018-01-24T23:30Z,True_no_nodes,regular,Kuna ,[u'No Nodes']
Panskura super speciality hospital????,3,No Story,https://api.haptikapi.com//user_info/4261833/#id_16728604_7,2018-01-24T20:17Z,True_no_nodes,regular,Susovan Maiti,[u'No Nodes']
{emoticon}{thumbsup},3,No Story,https://api.haptikapi.com//user_info/4261833/#id_16728604_7,2018-01-24T20:18Z,True_Casual_no_nodes,regular,Susovan Maiti,[u'No Nodes']
i want to search for a location{task},2,Nearby General Task,https://api.haptikapi.com//user_info/4261733/#id_16728424_2,2018-01-24T21:22Z,False_continue,regular,Figo ,[u'NEARBY_TASK']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4261960/#id_16728948_1,2018-01-24T21:36Z,False_continue,app_location,Deepak G Nair,[u'NEARBY_ATM']
"More
Nearby: Night Club",2,Nearby Night Club,https://api.haptikapi.com//user_info/4261733/#id_16728424_2,2018-01-24T21:22Z,False_continue,auto_form_reply,Figo ,[u'NEARBY_NIGHT_CLUB']
"More
Nearby: Night Club",4,Nearby Night Club,https://api.haptikapi.com//user_info/4261981/#id_16728974_1,2018-01-24T21:51Z,False_continue,auto_form_reply,Agranya Kumar,[u'NEARBY_NIGHT_CLUB']
"Hi, I am interested in Salon and Beauty Offers{task}",3,OFFERS,https://api.haptikapi.com//user_info/4261833/#id_16728604_4,2018-01-24T20:13Z,False_continue,regular,Susovan Maiti,[u'SPA_OFFERS_VLCC']
{emoticon}{thumbsup},2,Nearby Atm Details,https://api.haptikapi.com//user_info/4261236/#id_16727483_2,2018-01-24T18:11Z,True_Casual_nothing_changed,regular,Md Mozammil Ansary,[u'NEARBY_ATM']
"Hey User hasn't given location permission to us. Ask him if he is facing difficulty in
    switching on location services {note}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/3830299/#id_16727571_1,2018-01-24T18:13Z,False_reply_without_graphflow,app_location,Pranav Chitrans,[u'NEARBY_ATM']
